x,ux
-33.82874447145077,-0.0
-33.78889907160218,-0.0
-33.74905367175359,-0.0
-33.709208271905005,-0.0
-33.66936287205642,-0.0
-33.62951747220783,-0.0
-33.58967207235924,-0.0
-33.549826672510655,-0.0
-33.50998127266207,-0.0
-33.47013587281348,-0.0
-33.43029047296489,-0.0
-33.390445073116304,-0.0
-33.350599673267716,-0.0
-33.310754273419136,-0.0
-33.27090887357055,-0.0
-33.23106347372196,-0.0
-33.19121807387337,-0.0
-33.151372674024785,-0.0
-33.1115272741762,-0.0
-33.07168187432761,-0.0
-33.03183647447902,-0.0
-32.991991074630434,-0.0
-32.952145674781846,-0.0
-32.91230027493326,-0.0
-32.87245487508467,-0.0
-32.83260947523608,-0.0
-32.792764075387495,-0.0
-32.75291867553891,-0.0
-32.71307327569032,-0.0
-32.67322787584173,-0.0
-32.633382475993145,-0.0
-32.59353707614456,-0.0
-32.55369167629597,-0.0
-32.51384627644738,-0.0
-32.474000876598794,-0.0
-32.434155476750206,-0.0
-32.39431007690162,-0.0
-32.35446467705303,-0.0
-32.31461927720444,-0.0
-32.274773877355855,-0.0
-32.23492847750727,-0.0
-32.19508307765868,-0.0
-32.15523767781009,-0.0
-32.115392277961504,-0.0
-32.07554687811292,-0.0
-32.035701478264336,-0.0
-31.995856078415745,-0.0
-31.956010678567157,-0.0
-31.91616527871857,-0.0
-31.87631987886998,-0.0
-31.83647447902139,-0.0
-31.796629079172806,-0.0
-31.75678367932422,-0.0
-31.71693827947563,-0.0
-31.677092879627047,-0.0
-31.63724747977846,-0.0
-31.59740207992987,-0.0
-31.557556680081284,-0.0
-31.517711280232696,-0.0
-31.47786588038411,-0.0
-31.43802048053552,-0.0
-31.398175080686933,-0.0
-31.358329680838345,-0.0
-31.318484280989757,-0.0
-31.27863888114117,-0.0
-31.238793481292586,-0.0
-31.19894808144399,-0.0
-31.159102681595407,-0.0
-31.11925728174682,-0.0
-31.079411881898235,-0.0
-31.039566482049647,-0.0
-30.99972108220106,-0.0
-30.95987568235247,-0.0
-30.920030282503884,-0.0
-30.880184882655296,-0.0
-30.84033948280671,-0.0
-30.80049408295812,-0.0
-30.760648683109533,-0.0
-30.720803283260945,-0.0
-30.68095788341236,-0.0
-30.64111248356377,-0.0
-30.601267083715182,-0.0
-30.561421683866595,-0.0
-30.521576284018007,-0.0
-30.481730884169423,0.0578734697748081
-30.441885484320835,0.0581596822683799
-30.402040084472247,0.0583791224549883
-30.36219468462366,0.058454786653016
-30.322349284775072,0.0584736605467893
-30.282503884926484,0.0584736605467893
-30.242658485077897,0.0584564895071541
-30.20281308522931,0.0584564895071541
-30.16296768538072,0.0584578812401038
-30.123122285532133,0.058458197111234
-30.083276885683546,0.0584772990022141
-30.04343148583496,0.0585023573202213
-30.00358608598637,0.0585363930282452
-29.963740686137783,0.0585762711646927
-29.923895286289195,0.0586147148187143
-29.884049886440607,0.0586539683378141
-29.844204486592023,0.0586725287354281
-29.804359086743435,0.0586911603821693
-29.764513686894848,0.0587201421521097
-29.72466828704626,0.0587458037127264
-29.684822887197672,0.0587763197138707
-29.644977487349085,0.0588135877572948
-29.605132087500497,0.0588843143908132
-29.56528668765191,0.0589843909147621
-29.52544128780332,0.0591140405764065
-29.485595887954737,0.0592058047021917
-29.445750488106142,0.0592125899940642
-29.40590508825756,0.0592242368513769
-29.36605968840897,0.0592342901032132
-29.326214288560383,0.0592279845554633
-29.286368888711795,0.0592317631341714
-29.246523488863208,0.0592378953090453
-29.206678089014623,0.0592404009033489
-29.166832689166036,0.0592447684748412
-29.126987289317448,0.059256241959278
-29.08714188946886,0.0592775691979951
-29.047296489620273,0.0593002026707094
-29.007451089771685,0.0593258214818498
